"id","name","description"
"814da997-8c92-44e5-aacb-e2721a59acf5","Informática","Informática"
"9799b597-d3ba-4e42-9463-5b5f7cd398ae","Informática","Informática"
"a95bb371-d14b-4cc6-b7bc-89872bd7b9da","Eletrônicos","Eletrônicos"
"c1c64cb8-0f99-476d-8ce2-e9528763af88","Informática","Informática"
"c8f790b6-8fd7-4f15-b5c9-4f9e683d9470","Informática","Informática"
"cc95b047-7a3f-48fd-832e-a2cafb37f305","Informática","Informática"
"fc197dbf-bd35-402a-b10f-225e17856dfc","Eletrônicos","Eletrônicos"
"03d230b9-9cdc-4d6d-837d-af9375b890ec","Eletrônicos","Eletrônicos"
"0b17703e-1951-45d5-ba15-67e3ee0792ac","Informática","Informática"
"2021c832-a2e0-4ae0-a95e-417b147d30c4","Informática","Informática"
"4de486c1-c304-410c-a1fe-9e6942b40194","Eletrônicos","Eletrônicos"
"5034fa0c-f4b7-4072-a548-1aa031075292","Informática","Informática"
"5cd64a50-11b4-49db-b454-22b04cfb5ed0","Eletrônicos","Eletrônicos"
"693a7fa9-9409-45fa-a51d-b9d756842bdb","Informática","Informática"
